step,S,E,I,R,inc,beta,Rt
153,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
154,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
155,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
156,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
157,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
158,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
159,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
160,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
161,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
162,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
163,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
164,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
165,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
166,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
167,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
168,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
169,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
170,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
171,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
172,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
173,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
174,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
175,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
176,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
177,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
178,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
179,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
180,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
181,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
182,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
183,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
184,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
185,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
186,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
187,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
188,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
189,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
190,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
191,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
192,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
193,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
194,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
195,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
196,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
197,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
198,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
199,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
200,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
201,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
202,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
203,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
204,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
205,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
206,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
207,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
208,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
209,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
210,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
