t,GR,ver
179,0,10
180,0,10
181,0,10
182,0,10
183,0,10
184,0,10
185,0,10
186,0,10
187,0,10
188,0,10
189,0,10
190,0,10
191,0,10
192,0,10
193,0,10
194,0,10
195,0,10
196,0,10
197,0,10
198,0,10
199,0,10
200,0,10
201,0,10
202,0,10
203,0,10
204,0,10
205,0,10
206,0,10
207,0,10
208,0,10
209,0,10
210,0,10
211,0,10
212,0,10
213,0,10
214,0,10
215,0,10
216,0,10
217,0,10
218,0,10
219,0,10
220,0,10
221,0,10
222,0,10
223,0,10
224,0,10
225,0,10
226,0,10
227,0,10
228,0,10
229,0,10
230,0,10
231,0,10
232,0,10
233,0,10
234,0,10
235,0,10
236,0,10
237,0,10
238,0,10
239,0,10
240,0,10
241,0,10
242,0,10
243,0,10
244,0,10
245,0,10
246,0,10
247,0,10
248,0,10
249,0,10
250,0,10
251,0,10
21,6.171439461001745,20
22,0.19922452675235516,20
23,0.2300000298328677,20
24,0.2238106153165986,20
25,0.22861027953058571,20
26,0.22941401927303703,20
27,0.21988322957632067,20
28,0.22400663195056575,20
29,0.223451093083115,20
30,0.21899113576447138,20
31,0.21794706928782212,20
32,0.21710040040409714,20
33,0.21088508362689162,20
34,0.2035569469376654,20
35,0.20191090625018218,20
36,0.19285505888738527,20
37,0.18414466205683527,20
38,0.174075104004633,20
39,0.1613575299558362,20
40,0.1494795989966308,20
41,0.1331305477682304,20
42,0.11474596038937158,20
43,0.09550242292871503,20
44,0.07467813347425403,20
45,0.05212932490167582,20
46,0.030483874478575496,20
47,0.0059990125711014575,20
48,-0.01863349937692848,20
49,-0.043320705022751274,20
50,-0.0657379659502088,20
51,-0.09001724074908105,20
52,-0.1124565043052885,20
53,-0.13232026505857533,20
54,-0.1542548407776524,20
55,-0.1726778405728381,20
56,-0.18788747311176138,20
57,-0.20327397834299693,20
58,-0.21546815693603974,20
59,-0.22868473475653692,20
60,-0.23848571339911945,20
61,-0.2406838614889779,20
62,-0.24834092887508893,20
63,-0.24518705179032405,20
64,-0.24599764256591872,20
65,-0.25172926596329404,20
66,-0.24490772210240622,20
67,-0.24402751683189053,20
68,-0.23836763051381038,20
69,-0.2290428183812754,20
70,-0.2137011871061113,20
71,-0.20523536746288237,20
72,-0.20579146378506327,20
73,-0.21450704087997077,20
74,-0.18418468085407855,20
75,-0.20118380903544963,20
76,-0.2006456000129755,20
77,-0.18626235491424056,20
78,-0.17710367651403588,20
79,-0.20620987626858908,20
80,-0.1819732047275293,20
81,-0.19756218592907138,20
82,-0.19602789539389917,20
83,-0.1683647914993237,20
84,-0.18844610808937362,20
85,-0.18027489225874427,20
86,-0.1583038819650615,20
87,-0.17328679513998635,20
88,-0.1643267236671008,20
89,-0.13144004147240348,20
90,-0.16094379124341004,20
91,-0.18920948169591306,20
92,-0.12901084147961628,20
93,-0.11874528772868359,20
94,-0.20302215052732098,20
95,-5.929749527625101,20
96,-0.12824746787307745,20
97,-5.921254575785331,20
98,-0.1629048269010741,20
99,-0.11989476363991854,20
100,-0.13195286648076293,20
101,-5.866323961351926,20
102,-5.85375823993788,20
103,-0.11989476363991854,20
104,-5.846050705946517,20
105,-5.836934628106819,20
106,-5.85375823993788,20
107,-5.825777450541109,20
108,-5.825777450541109,20
109,-5.85375823993788,20
110,-5.825777450541109,20
111,-5.791120091513112,20
112,-5.836934628106819,20
113,-5.825777450541109,20
114,-5.756462732485114,20
115,0,20
116,-5.791120091513111,20
117,0,20
118,-5.756462732485114,20
119,-5.756462732485114,20
120,-5.756462732485114,20
121,0,20
122,0,20
123,-5.756462732485114,20
124,0,20
125,0,20
126,0,20
127,0,20
128,0,20
129,0,20
130,0,20
131,0,20
132,0,20
133,0,20
134,0,20
135,0,20
136,0,20
137,0,20
138,0,20
139,0,20
140,0,20
141,0,20
142,0,20
143,0,20
144,0,20
145,0,20
146,0,20
147,0,20
148,0,20
149,0,20
150,0,20
151,0,20
152,0,20
153,0,20
154,0,20
155,0,20
156,0,20
157,0,20
158,0,20
159,0,20
160,0,20
161,0,20
162,0,20
163,0,20
164,0,20
165,0,20
166,0,20
167,0,20
168,0,20
169,0,20
170,0,20
171,0,20
172,0,20
173,0,20
174,0,20
175,0,20
176,0,20
177,0,20
178,0,20
179,0,20
180,0,20
181,0,20
182,0,20
183,0,20
184,0,20
185,0,20
186,0,20
187,0,20
188,0,20
189,0,20
190,0,20
191,0,20
192,0,20
193,0,20
194,0,20
195,0,20
196,0,20
197,0,20
198,0,20
199,0,20
200,0,20
201,0,20
202,0,20
203,0,20
204,0,20
205,0,20
206,0,20
207,0,20
208,0,20
209,0,20
210,0,20
211,0,20
212,0,20
213,0,20
214,0,20
215,0,20
216,0,20
217,0,20
218,0,20
219,0,20
220,0,20
221,0,20
222,0,20
223,0,20
224,0,20
225,0,20
226,0,20
227,0,20
228,0,20
229,0,20
230,0,20
231,0,20
232,0,20
233,0,20
234,0,20
235,0,20
236,0,20
237,0,20
238,0,20
239,0,20
240,0,20
241,0,20
242,0,20
243,0,20
244,0,20
245,0,20
246,0,20
247,0,20
248,0,20
249,0,20
250,0,20
251,0,20
31,4.183721454280659,30
32,0.20002457374109736,30
33,0.21796210503682711,30
34,0.21061246455547297,30
35,0.21027466355786154,30
36,0.2072191215047934,30
37,0.1957209257846698,30
38,0.19256048045858754,30
39,0.18476093027930912,30
40,0.17447017201077225,30
41,0.1646232644245391,30
42,0.15402268462278523,30
43,0.13962958588882243,30
44,0.12408466593020571,30
45,0.1114923435637676,30
46,0.09461618025453845,30
47,0.07763034368483515,30
48,0.06040501059359264,30
49,0.04289768173149081,30
50,0.027351673863156678,30
51,0.009416986446775221,30
52,-0.0077627802973317585,30
53,-0.0235847582241349,30
54,-0.04143117284069437,30
55,-0.05725074984442101,30
56,-0.07098187341840553,30
57,-0.08638387949487528,30
58,-0.1004227121324828,30
59,-0.11666295494712549,30
60,-0.1305143940982883,30
61,-0.14113068942666093,30
62,-0.15627153489667214,30
63,-0.16441850438932135,30
64,-0.17561839373885035,30
65,-0.1909344379118832,30
66,-0.19722567373865588,30
67,-0.20781777557431538,30
68,-0.21455681241870295,30
69,-0.21736921715991694,30
70,-0.21476885020533806,30
71,-0.2161602903739666,30
72,-0.22145439641362166,30
73,-0.2302577340965921,30
74,-0.21400638239291608,30
75,-0.2261261724691713,30
76,-0.22506818974610618,30
77,-0.21455812448510328,30
78,-0.2060694968905544,30
79,-0.225255735777684,30
80,-0.20800455328316864,30
81,-0.2128273195466545,30
82,-0.21198579562241257,30
83,-0.18844818868315358,30
84,-0.1984125719466645,30
85,-0.1959991390358206,30
86,-0.17750327964085597,30
